target_kind,pctl,model,frac,lift_median,lift_q1,lift_q3,capture_median,n_campuses
occurrence,75,gbdt,0.0,3.0382503144581747,2.140144665461121,3.6289757831546607,0.30387114239306984,9
occurrence,75,gbdt,0.05,3.040280325804138,2.111609403254973,3.6374283665005183,0.3040741743367623,9
occurrence,75,gbdt,0.1,3.041633666701447,2.140144665461121,3.6374283665005183,0.30420952896589065,9
occurrence,75,gbdt,0.2,3.0450170189447188,2.140144665461121,3.6357378498313464,0.3045479155387114,9
occurrence,75,logreg,0.0,3.030806939522977,2.111609403254973,3.6188326831396322,0.3031266919328641,9
occurrence,75,logreg,0.05,3.0253935759337414,2.111609403254973,3.619396188696023,0.30258527341635083,9
occurrence,75,logreg,0.1,3.0213335532418153,2.111609403254973,3.6182691775832416,0.3021792095289659,9
occurrence,75,logreg,0.2,3.0213335532418153,2.111609403254973,3.619396188696023,0.3021792095289659,9
severity_labour,75,gbdt,0.0,6.464103624087088,5.5766041316764605,6.645437779011102,0.6464103624087089,9
severity_labour,75,gbdt,0.05,6.543395196506551,5.548391969121604,6.649480016102959,0.6543395196506551,9
severity_labour,75,gbdt,0.1,6.591740013540962,5.5766041316764605,6.63867999615944,0.6591740013540961,9
severity_labour,75,gbdt,0.2,6.512066873398949,5.619506808254701,6.616586389148977,0.6512066873398948,9
severity_labour,75,logreg,0.0,6.576719748449553,5.278948235595645,7.002893757751137,0.6579053780832996,9
severity_labour,75,logreg,0.05,6.568635274265841,5.282733784706864,7.04967248908297,0.6570966437525273,9
severity_labour,75,logreg,0.1,6.565860837152208,5.273675012427073,7.10661382808524,0.6568191015783084,9
severity_labour,75,logreg,0.2,6.565860837152208,5.3011455212860215,7.070320342599272,0.6568191015783084,9
