system,n_cells,n_pos,base_rate,lift_top10,capture_top10,pr_auc,n_campuses_evaluable,lift_median_across_campuses,frac_campuses_meet_2x
D50,54417,5506,0.10118161603910543,6.748629038943585,0.6749001089720306,0.7463919320568208,8,4.389362071271575,1.0
E20,26949,1336,0.04957512338120153,6.683883716796463,0.6684131736526946,0.5125960614074607,7,3.5633116883116878,1.0
C10,44736,4578,0.10233369098712447,6.17900190469941,0.6179554390563565,0.6803093056207041,8,4.414606358236627,1.0
D20,58371,6359,0.10894108375734526,6.053477708476401,0.6054411070923101,0.6892380437825174,8,5.11034498960408,1.0
G20,14983,353,0.023560034706000134,5.946230442580228,0.5949008498583569,0.2934093445484317,3,3.9183287202865515,1.0
D30,58595,6606,0.11273999488010922,5.938034019130401,0.593854072055707,0.6922399104618295,9,4.744437910418504,0.8888888888888888
E10,32719,2704,0.08264311256456493,5.81343178990466,0.5813609467455622,0.5548605973959945,8,5.420538140697015,1.0
C30,35040,2549,0.07274543378995434,5.598273832875638,0.5598273832875638,0.4588551498337923,8,4.192107633743083,1.0
D40,38855,2029,0.05221979153262128,5.553745649482403,0.5554460325283391,0.34793030716382933,9,3.69375,0.8888888888888888
F10,7078,102,0.014410850522746538,5.390633654591781,0.5392156862745098,0.14427990595618104,3,4.966666666666667,1.0
D10,16515,345,0.02089009990917348,5.389672597115486,0.5391304347826087,0.14818359962609096,7,3.535804163806909,0.7142857142857143
G30,5009,29,0.005789578758235177,5.1713813751806725,0.5172413793103449,0.1030603095792928,1,3.433756805807622,1.0
B20,40441,1789,0.044237283944511756,5.08550881951992,0.5086640581330352,0.27230730341396897,7,3.319587628865979,0.8571428571428571
B30,42568,1039,0.02440800601390716,4.927583691063782,0.49278152069297404,0.15035925946302153,5,4.323368843406171,1.0
C20,11829,174,0.014709611970580776,2.873320313638616,0.28735632183908044,0.03459339547828797,5,2.0531407623825144,0.6
F20,4899,72,0.014696876913655848,2.082908163265306,0.20833333333333334,0.02592048953396389,1,4.785274825850409,1.0
