UniversityID,n_upm,cost_pos_share,labour_pos_share,cost_nonnull_share,labour_nonnull_share
1,77581,0.9995617483662237,0.935873474175378,1.0,1.0
10,115441,0.0,0.9645100094420527,0.0,0.9661212220961357
11,130519,0.8644641776293107,0.8620124273094338,1.0,1.0
12,399686,0.0,0.7097246338375625,0.0,1.0
2,34108,0.9933446698721707,0.9713850123138267,1.0,1.0
3,43251,0.9361170839980578,0.8960948879794687,1.0,1.0
4,142378,0.8083201056342975,0.7730197081009706,1.0,1.0
5,230446,0.6905088393810264,0.9414960554750353,0.6905088393810264,1.0
6,141507,0.0,0.9974135555131548,0.0,1.0
7,15339,0.9411956450876849,0.9240498076797705,1.0,1.0
8,99657,0.9083857631676651,0.8911667017871299,1.0,0.8942472681296848
9,39291,0.9780865847140566,0.8047899009951388,1.0,0.8116617036980479
