SystemCode,PPM,UPM,total,upm_share
D30,724976,395282,1120258,0.3528490758378873
D50,526539,262377,788916,0.3325791339001871
D20,262360,331348,593708,0.5580992676534593
D40,308637,43770,352407,0.12420298121206445
C10,53536,148771,202307,0.7353724784609529
E10,112468,77704,190172,0.40859853185537304
C30,45305,65439,110744,0.590903344650726
B20,34308,35031,69339,0.5052135162030026
E20,25287,38209,63496,0.601754441224644
D90,39185,12782,51967,0.2459637847095272
D10,37957,11650,49607,0.23484588868506462
B30,19810,14285,34095,0.41897638949992666
G20,9206,9065,18271,0.496141426303979
C20,2438,4958,7396,0.6703623580313683
F10,2139,4068,6207,0.6553890768487192
F20,3571,2236,5807,0.38505252281728947
G40,1603,2146,3749,0.5724193118164844
G30,1678,1786,3464,0.5155889145496536
B10,589,365,954,0.38259958071278827
G10,209,398,607,0.6556836902800659
A10,58,49,107,0.45794392523364486
G90,2,6,8,0.75
g20,0,1,1,1.0
