UniversityID,n_upm,total_upm_labour,mean_upm_labour
5,230446,761220.35,3.3032482664051446
12,399686,729701.0166666667,1.8256857049450486
6,141507,641453.19,4.533013843838114
8,99657,396502.56,3.9786724464914656
2,34108,369404.82,10.830445056878151
10,115441,323811.54,2.804995971968365
4,142378,285515.09,2.005331511890882
1,77581,274054.48,3.532494811874041
11,130519,236740.66,1.8138405902588894
3,43251,207137.5,4.78919562553467
9,39291,115600.7025,2.9421674811025427
7,15339,50145.4,3.269144011995567
