SystemCode,SystemDescription,n_upm,total_upm_labour,mean_upm_labour,share_of_total_upm_labour
D30,HVAC,395282,1420889.7502,3.5946229532333875,0.32406028606390347
D20,Plumbing,331348,880135.0239333333,2.656225551182845,0.20073113173668142
D50,Electrical,262377,699205.6395,2.664889222378486,0.15946682669923634
C30,Interior Finishes,65439,310785.45896666666,4.749239122949108,0.07088039358652806
C10,Interior Construction,148771,303895.31333333335,2.0427053211535404,0.06930896796068647
E10,Equipment,77704,209297.9,2.6935280037063727,0.047734271668176516
D40,Fire Protection,43770,125052.08333333333,2.857027263727058,0.028520449170798094
E20,Furnishings,38209,120113.65666666666,3.143595924171443,0.02739414928857264
B20,Exterior Enclosure,35031,87674.48,2.5027684051268877,0.01999579282298632
B30,Roofing,14285,68441.94666666667,4.79117582545794,0.015609456548228698
G20,Site Improvements,9066,44804.08666666667,4.941990587543202,0.010218403743139287
D90,General,12782,34103.72666666667,2.668105669430971,0.0077779879951203655
D10,Conveying,11650,26355.8299,2.2623029957081546,0.006010936299345811
C20,Stairs,4958,19797.493333333332,3.9930402043834876,0.004515185891125743
F10,Special Construction,4068,11781.233333333334,2.896075057358243,0.0026869289778803807
G40,Site Electrical Utilities,2146,8624.316666666668,4.018786890338615,0.001966935524527715
G30,Site Mechanical Utilities,1786,6082.12,3.4054423292273235,0.0013871403793275028
F20,"Selective Building Demolition 
",2236,5087.79,2.275398032200358,0.001160364963292187
B10,Superstructure,365,1454.25,3.984246575342466,0.0003316687103570829
G10,Site Preparation,398,847.5,2.129396984924623,0.00019328810866606688
A10,Foundations,49,206.25,4.209183673469388,4.703914148952955e-05
G90,Other Site Construction,6,10.5,1.75,2.39471993037605e-06
