system,system_desc,burden_share,data_sufficiency,risk_concentration,transfer_stability,calibration_reliability,antecedent_signal,S,G
D30,HVAC,0.3240602860639034,1.0,1.0,1.0,1.0,1.0,1.0,0.0
D20,Plumbing,0.2007311317366814,1.0,1.0,1.0,1.0,1.0,1.0,0.0
D50,Electrical,0.1594668266992363,1.0,1.0,1.0,1.0,1.0,1.0,0.0
C30,Interior Finishes,0.070880393586528,1.0,1.0,1.0,1.0,1.0,1.0,0.0
C10,Interior Construction,0.0693089679606864,1.0,1.0,1.0,1.0,1.0,1.0,0.0
E10,Equipment,0.0477342716681765,1.0,1.0,1.0,1.0,1.0,1.0,0.0
D40,Fire Protection,0.028520449170798,1.0,1.0,1.0,1.0,1.0,1.0,0.0
E20,Furnishings,0.0273941492885726,1.0,1.0,1.0,1.0,1.0,1.0,0.0
B20,Exterior Enclosure,0.0199957928229863,1.0,1.0,1.0,1.0,0.5,0.9,0.0
B30,Roofing,0.0156094565482286,0.5,1.0,0.5,1.0,0.5,0.7,0.0
G20,Site Improvements,0.0102184037431392,0.5,1.0,0.5,0.5,1.0,0.7,0.0
D10,Conveying,0.0060109362993458,0.5,1.0,0.5,0.5,0.5,0.6,0.0
C20,Stairs,0.0045151858911257,0.5,1.0,0.5,0.0,0.0,0.4,0.0
F10,Special Construction,0.0026869289778803,0.5,1.0,0.5,1.0,0.5,0.7,0.0
G30,Site Mechanical Utilities,0.0013871403793275,0.0,1.0,0.5,0.5,0.5,0.5,0.0
F20,Selective Building Demolition,0.0011603649632921,0.0,1.0,0.5,0.0,0.5,0.0,0.0
