system,n_units,n_pos,mean_R,mean_CEPI,frac_high_CEPI_0.45,dominant_class,system_desc,burden_share,S,G
D30,58595,6606,0.5100833498086851,0.0,0.0,routine_monitoring,HVAC,0.3240602860639034,1.0,0.0
D20,58371,6359,0.5614929109852606,0.0,0.0,routine_monitoring,Plumbing,0.2007311317366814,1.0,0.0
D50,54417,5506,0.5570801868049466,0.0,0.0,routine_monitoring,Electrical,0.1594668266992363,1.0,0.0
C30,35040,2549,0.5778645043189722,0.0,0.0,routine_monitoring,Interior Finishes,0.070880393586528,1.0,0.0
C10,44736,4578,0.5680582619035021,0.0,0.0,routine_monitoring,Interior Construction,0.0693089679606864,1.0,0.0
E10,32719,2704,0.5480854162992393,0.0,0.0,routine_monitoring,Equipment,0.0477342716681765,1.0,0.0
D40,38855,2029,0.5243951969244477,0.0,0.0,routine_monitoring,Fire Protection,0.028520449170798,1.0,0.0
E20,26949,1336,0.4781823896356271,0.0,0.0,routine_monitoring,Furnishings,0.0273941492885726,1.0,0.0
B20,40441,1789,0.5375160337510421,0.0537516033751041,0.0,routine_monitoring,Exterior Enclosure,0.0199957928229863,0.9,0.0
B30,42568,1039,0.4657457489428221,0.0931491497885644,0.0,routine_monitoring,Roofing,0.0156094565482286,0.7,0.0
G20,14983,353,0.4271415373113697,0.0427141537311369,0.0,routine_monitoring,Site Improvements,0.0102184037431392,0.7,0.0
D10,16515,345,0.4830171758459319,0.1932068703383727,0.0,watchlist,Conveying,0.0060109362993458,0.6,0.0
C20,11829,174,0.434096343903903,0.2604578063423418,0.1077014117845971,watchlist,Stairs,0.0045151858911257,0.4,0.0
F10,7078,102,0.456825602927944,0.0913651205855887,0.0,routine_monitoring,Special Construction,0.0026869289778803,0.7,0.0
G30,5009,29,0.2151109821917319,0.1075554910958659,0.0031942503493711,watchlist,Site Mechanical Utilities,0.0013871403793275,0.5,0.0
F20,4899,72,0.2217949170045958,0.2217949170045958,0.1681975913451724,watchlist,Selective Building Demolition,0.0011603649632921,0.0,0.0
