A,B,elig,cooc,P_B_given_A,baseline_B,risk_ratio,A_desc,B_desc
D40,B10,107,6,0.056074766355140186,0.010046885465505693,5.581308411214954,Fire Protection,Superstructure
D50,B10,269,13,0.048327137546468404,0.010046885465505693,4.810161090458489,Electrical,Superstructure
C30,B10,109,5,0.045871559633027525,0.010046885465505693,4.565749235474007,Interior Finishes,Superstructure
E20,D50,1073,893,0.8322460391425909,0.1854877868558279,4.486796965179502,Furnishings,Electrical
E20,F10,163,38,0.2331288343558282,0.05384880911287539,4.329322007236118,Furnishings,Special Construction
E20,B20,1004,505,0.5029880478087649,0.11629477475449507,4.325113048893225,Furnishings,Exterior Enclosure
C10,B10,209,9,0.0430622009569378,0.010046885465505693,4.286124401913876,Interior Construction,Superstructure
E20,D20,1073,924,0.8611369990680335,0.20913400573557814,4.117632596569807,Furnishings,Plumbing
E20,D30,1071,900,0.8403361344537815,0.20517278012787082,4.095748636490936,Furnishings,HVAC
E20,D40,1043,563,0.5397890699904123,0.13421561338289964,4.021805335348462,Furnishings,Fire Protection
D40,D50,1712,1231,0.7190420560747663,0.1854877868558279,3.8764927236619005,Fire Protection,Electrical
C30,D50,2371,1698,0.7161535217207929,0.1854877868558279,3.860920084606055,Interior Finishes,Electrical
C10,D50,4300,3062,0.7120930232558139,0.1854877868558279,3.839029163733,Interior Construction,Electrical
C30,E20,2171,881,0.4058037770612621,0.10695574391958086,3.794127946661589,Interior Finishes,Furnishings
D10,D50,368,258,0.7010869565217391,0.1854877868558279,3.7796933609794237,Conveying,Electrical
E10,D20,2413,1904,0.789059262329051,0.20913400573557814,3.772984023108659,Equipment,Plumbing
C10,D20,4342,3397,0.7823583602026716,0.20913400573557814,3.7409428344802933,Interior Construction,Plumbing
D30,D20,5602,4359,0.7781149589432346,0.20913400573557814,3.720652488849931,HVAC,Plumbing
D10,D20,376,292,0.776595744680851,0.20913400573557814,3.7133881787869165,Conveying,Plumbing
C30,D20,2379,1845,0.7755359394703657,0.20913400573557814,3.708320589674578,Interior Finishes,Plumbing
D20,D30,5546,4211,0.7592859718716192,0.20517278012787082,3.7007149359598563,Plumbing,HVAC
C30,D30,2377,1800,0.7572570466975179,0.20517278012787082,3.6908260746165693,Interior Finishes,HVAC
D10,B30,309,76,0.2459546925566343,0.06683933715675133,3.6797895224457773,Conveying,Roofing
E10,B10,109,4,0.03669724770642202,0.010046885465505693,3.652599388379205,Equipment,Superstructure
E10,D30,2417,1811,0.7492759619362847,0.20517278012787082,3.651926739352607,Equipment,HVAC
E10,F10,667,131,0.19640179910044978,0.05384880911287539,3.647282128166686,Equipment,Special Construction
E20,C10,1067,846,0.7928772258669166,0.2174002047082907,3.647085921242832,Furnishings,Interior Construction
E20,C30,1047,702,0.670487106017192,0.18384975296927658,3.646929599787051,Furnishings,Interior Finishes
D50,D20,4658,3546,0.7612709317303564,0.20913400573557814,3.6401106986535767,Electrical,Plumbing
F20,D50,52,35,0.6730769230769231,0.1854877868558279,3.6286859339158455,Selective Building Demolition,Electrical
E10,D50,2396,1561,0.6515025041736227,0.1854877868558279,3.512374131025721,Equipment,Electrical
D20,D50,5498,3576,0.6504183339396145,0.1854877868558279,3.5065291627268063,Plumbing,Electrical
C20,D50,217,141,0.6497695852534562,0.1854877868558279,3.503031634953387,Stairs,Electrical
D10,D30,380,273,0.718421052631579,0.20517278012787082,3.501541735623185,Conveying,HVAC
D50,D30,4665,3312,0.7099678456591639,0.20517278012787082,3.460341304615004,Electrical,HVAC
C10,D30,4347,3077,0.7078444904531861,0.20517278012787082,3.4499921968792973,Interior Construction,HVAC
E20,G20,281,62,0.2206405693950178,0.06396951516134262,3.449151816119328,Furnishings,Site Improvements
B20,E20,1242,453,0.3647342995169082,0.10695574391958086,3.410142234073459,Exterior Enclosure,Furnishings
D40,E20,1364,497,0.36436950146627567,0.10695574391958086,3.4067314957880344,Fire Protection,Furnishings
D50,C10,4583,3374,0.7361989962906393,0.2174002047082907,3.386376739058167,Electrical,Interior Construction
F10,D50,134,84,0.6268656716417911,0.1854877868558279,3.3795522727813245,Special Construction,Electrical
D20,B10,236,8,0.03389830508474576,0.010046885465505693,3.374011299435028,Plumbing,Superstructure
B20,F10,248,45,0.1814516129032258,0.05384880911287539,3.3696495037220844,Exterior Enclosure,Special Construction
D50,D40,4502,2022,0.4491337183474012,0.13421561338289964,3.3463596896590655,Electrical,Fire Protection
D40,D20,1709,1193,0.6980690462258631,0.20913400573557814,3.337903100792119,Fire Protection,Plumbing
D40,B20,1479,573,0.38742393509127787,0.11629477475449507,3.3313958938323065,Fire Protection,Exterior Enclosure
C30,C10,2346,1699,0.7242114236999148,0.2174002047082907,3.331236162687461,Interior Finishes,Interior Construction
D40,C10,1619,1166,0.7201976528721433,0.2174002047082907,3.3127735727687573,Fire Protection,Interior Construction
C30,B20,2196,840,0.3825136612021858,0.11629477475449507,3.2891732410995593,Interior Finishes,Exterior Enclosure
F10,D20,134,92,0.6865671641791045,0.20913400573557814,3.282905435509022,Special Construction,Plumbing
D10,C10,367,261,0.7111716621253406,0.2174002047082907,3.271255715143398,Conveying,Interior Construction
B20,D20,1514,1035,0.6836195508586526,0.20913400573557814,3.2688110594648947,Exterior Enclosure,Plumbing
B20,D30,1504,1005,0.668218085106383,0.20517278012787082,3.2568554400341325,Exterior Enclosure,HVAC
C30,D40,2303,1002,0.435084672166739,0.13421561338289964,3.241684489609262,Interior Finishes,Fire Protection
D40,D30,1700,1129,0.6641176470588235,0.20517278012787082,3.236870147418786,Fire Protection,HVAC
B20,D50,1470,878,0.5972789115646259,0.1854877868558279,3.220044412028413,Exterior Enclosure,Electrical
D30,D50,5560,3287,0.5911870503597122,0.1854877868558279,3.1872020275880364,HVAC,Electrical
D20,C10,5466,3722,0.6809366995975119,0.2174002047082907,3.132180581481964,Plumbing,Interior Construction
E10,C10,2392,1628,0.6806020066889632,0.2174002047082907,3.130641057133319,Equipment,Interior Construction
E10,B20,2181,793,0.3635946813388354,0.11629477475449507,3.1264919864749263,Equipment,Exterior Enclosure
F20,D20,52,34,0.6538461538461539,0.20913400573557814,3.126445895522388,Selective Building Demolition,Plumbing
C30,F10,422,71,0.16824644549763032,0.05384880911287539,3.1244227731194556,Interior Finishes,Special Construction
C10,D40,4275,1783,0.4170760233918129,0.13421561338289964,3.1075074864945065,Interior Construction,Fire Protection
F10,E10,129,73,0.5658914728682171,0.18214955586226422,3.1067408876699454,Special Construction,Equipment
C20,D20,211,137,0.6492890995260664,0.20913400573557814,3.104655779161067,Stairs,Plumbing
C10,B20,4006,1435,0.3582126809785322,0.11629477475449507,3.0802130339453315,Interior Construction,Exterior Enclosure
D30,B30,4719,969,0.2053401144310235,0.06683933715675133,3.072144685538409,HVAC,Roofing
D50,E20,4120,1353,0.3283980582524272,0.10695574391958086,3.070410678451706,Electrical,Furnishings
B30,D30,871,547,0.6280137772675086,0.20517278012787082,3.0609020206096957,Roofing,HVAC
E10,D40,2335,959,0.4107066381156317,0.13421561338289964,3.060051120460473,Equipment,Fire Protection
C10,E20,3890,1269,0.3262210796915167,0.10695574391958086,3.0500566658374106,Interior Construction,Furnishings
C20,C10,206,136,0.6601941747572816,0.2174002047082907,3.0367688735304337,Stairs,Interior Construction
B20,G30,112,8,0.07142857142857142,0.02373678025851939,3.009193776520509,Exterior Enclosure,Site Mechanical Utilities
D50,B20,4174,1453,0.3481073310972688,0.11629477475449507,2.993318761157957,Electrical,Exterior Enclosure
D30,F10,839,135,0.16090584028605484,0.05384880911287539,2.98810396992757,HVAC,Special Construction
C10,C30,4202,2289,0.5447405997144217,0.18384975296927658,2.9629661770905624,Interior Construction,Interior Finishes
E20,C20,437,70,0.16018306636155608,0.05426743953627823,2.951734368349411,Furnishings,Stairs
F10,E20,111,35,0.3153153153153153,0.10695574391958086,2.9480914606362636,Special Construction,Furnishings
B30,F20,148,17,0.11486486486486487,0.039051269765213226,2.941386171447521,Roofing,Selective Building Demolition
B20,B30,1116,219,0.19623655913978494,0.06683933715675133,2.9359441234369483,Exterior Enclosure,Roofing
D20,F10,1065,168,0.15774647887323945,0.05384880911287539,2.929433008306248,Plumbing,Special Construction
D50,C30,4438,2367,0.5333483551149166,0.18384975296927658,2.9010012061536212,Electrical,Interior Finishes
D30,B20,5109,1704,0.33352906635349383,0.11629477475449507,2.867962615324659,HVAC,Exterior Enclosure
D20,B20,5061,1677,0.33135743924125666,0.11629477475449507,2.849289144252364,Plumbing,Exterior Enclosure
F10,D30,134,78,0.582089552238806,0.20517278012787082,2.837070062978274,Special Construction,HVAC
D10,D40,340,129,0.37941176470588234,0.13421561338289964,2.8268824702493447,Conveying,Fire Protection
C20,D30,206,119,0.5776699029126213,0.20517278012787082,2.815528953463502,Stairs,HVAC
D30,C10,5519,3377,0.6118862112701576,0.2174002047082907,2.8145613390345763,HVAC,Interior Construction
F20,D30,52,30,0.5769230769230769,0.20517278012787082,2.8118889677447383,Selective Building Demolition,HVAC
C20,E20,183,55,0.3005464480874317,0.10695574391958086,2.8100075514729728,Stairs,Furnishings
E10,C30,2270,1171,0.5158590308370044,0.18384975296927658,2.8058728527267065,Equipment,Interior Finishes
F10,D40,128,48,0.375,0.13421561338289964,2.7940117438510965,Special Construction,Fire Protection
