system,n_cells,n_pos,base_rate,lift_top10,capture_top10,pr_auc,n_campuses_evaluable,lift_median_across_campuses,frac_campuses_meet_2x,system_desc,share_of_total_upm_labour,burden_class,screening_class,interpretation,action
D50,54417,5506,0.1011816160391054,6.748629038943585,0.6749001089720306,0.7463919320568208,8,4.389362071271575,1.0,Electrical,0.1594668266992363,high,works,Records are useful for this stratum,Use record-based top-k inspection
E20,26949,1336,0.0495751233812015,6.683883716796463,0.6684131736526946,0.5125960614074607,7,3.563311688311688,1.0,Furnishings,0.0273941492885726,high,works,Records are useful for this stratum,Use record-based top-k inspection
C10,44736,4578,0.1023336909871244,6.17900190469941,0.6179554390563565,0.6803093056207041,8,4.414606358236627,1.0,Interior Construction,0.0693089679606864,high,works,Records are useful for this stratum,Use record-based top-k inspection
D20,58371,6359,0.1089410837573452,6.053477708476401,0.6054411070923101,0.6892380437825174,8,5.11034498960408,1.0,Plumbing,0.2007311317366814,high,works,Records are useful for this stratum,Use record-based top-k inspection
G20,14983,353,0.0235600347060001,5.946230442580228,0.5949008498583569,0.2934093445484317,3,3.918328720286552,1.0,Site Improvements,0.0102184037431392,high,works,Records are useful for this stratum,Use record-based top-k inspection
D30,58595,6606,0.1127399948801092,5.938034019130401,0.593854072055707,0.6922399104618295,9,4.744437910418504,0.8888888888888888,HVAC,0.3240602860639034,high,works,Records are useful for this stratum,Use record-based top-k inspection
E10,32719,2704,0.0826431125645649,5.81343178990466,0.5813609467455622,0.5548605973959945,8,5.420538140697015,1.0,Equipment,0.0477342716681765,high,works,Records are useful for this stratum,Use record-based top-k inspection
C30,35040,2549,0.0727454337899543,5.598273832875638,0.5598273832875638,0.4588551498337923,8,4.192107633743083,1.0,Interior Finishes,0.070880393586528,high,works,Records are useful for this stratum,Use record-based top-k inspection
D40,38855,2029,0.0522197915326212,5.553745649482403,0.5554460325283391,0.3479303071638293,9,3.69375,0.8888888888888888,Fire Protection,0.028520449170798,high,works,Records are useful for this stratum,Use record-based top-k inspection
B20,40441,1789,0.0442372839445117,5.08550881951992,0.5086640581330352,0.2723073034139689,7,3.319587628865979,0.8571428571428571,Exterior Enclosure,0.0199957928229863,high,works,Records are useful for this stratum,Use record-based top-k inspection
B30,42568,1039,0.0244080060139071,4.927583691063782,0.492781520692974,0.1503592594630215,5,4.323368843406171,1.0,Roofing,0.0156094565482286,high,works,Records are useful for this stratum,Use record-based top-k inspection
F10,7078,102,0.0144108505227465,5.390633654591781,0.5392156862745098,0.144279905956181,3,4.966666666666667,1.0,Special Construction,0.0026869289778803,low,works,Low-risk monitoring,Low-risk monitoring: simple rules or periodic review
D10,16515,345,0.0208900999091734,5.389672597115486,0.5391304347826087,0.1481835996260909,7,3.535804163806909,0.7142857142857143,Conveying,0.0060109362993458,low,fails,Low priority,Low priority: avoid over-investing in analytics
G30,5009,29,0.0057895787582351,5.1713813751806725,0.5172413793103449,0.1030603095792928,1,3.433756805807622,1.0,Site Mechanical Utilities,0.0013871403793275,low,works,Low-risk monitoring,Low-risk monitoring: simple rules or periodic review
C20,11829,174,0.0147096119705807,2.873320313638616,0.2873563218390804,0.0345933954782879,5,2.0531407623825144,0.6,Stairs,0.0045151858911257,low,fails,Low priority,Low priority: avoid over-investing in analytics
F20,4899,72,0.0146968769136558,2.082908163265306,0.2083333333333333,0.0259204895339638,1,4.785274825850409,1.0,"Selective Building Demolition 
",0.0011603649632921,low,works,Low-risk monitoring,Low-risk monitoring: simple rules or periodic review
