SystemCode,included_share,excluded_share,system_desc
D30,0.26186037190105027,0.28509313426074623,HVAC
D20,0.24528027992785142,0.19481054748055718,Plumbing
D50,0.18916037894257903,0.16293900648124598,Electrical
C10,0.11534240787784572,0.07853057102171988,Interior Construction
E10,0.05365861585210623,0.05230296808018848,Equipment
C30,0.04457504373872678,0.04509952082223266,Interior Finishes
D40,0.025287754781468864,0.037923921942851414,Fire Protection
E20,0.023208878826122988,0.031162335624945463,Furnishings
B20,0.016029769417015585,0.03756560613852526,Exterior Enclosure
D10,0.009658810848287555,0.005075831134858558,Conveying
B30,0.007421771323644912,0.013801656421557616,Roofing
G20,0.00468315828815019,0.008803800746707858,Site Improvements
C20,0.0015621360748352012,0.00652765993787955,Stairs
F10,0.0011558940304085713,0.00557153227348593,Special Construction
F20,0.0005633223016049269,0.003185854508930975,"Selective Building Demolition 
"
G30,0.0003845758020572097,0.002656735316014117,Site Mechanical Utilities
G40,8.1248408885326e-05,0.0038449328018624997,Site Electrical Utilities
B10,5.524891804202168e-05,0.0005829593914943625,Superstructure
G10,1.62496817770652e-05,0.0007110619329373913,Site Preparation
A10,1.0833121184710132e-05,7.24057842938858e-05,Foundations
D90,2.1666242369420264e-06,0.023726818545534885,General
g20,1.0833121184710132e-06,0.0,Site Improvements
G90,0.0,1.1139351429828583e-05,Other Site Construction
