feature,label,mean_abs_shap,shap_share,gain_share,group,rank
upm_labour_y1,Prior-year UPM labor,0.9557006359100342,0.20174784220323472,0.38162589715479167,record_history,1
SystemCode,System type (UNIFORMAT II),0.5410758852958679,0.11422080118498765,0.019706396094732053,taxonomy,2
upm_labour_cum,Cumulative UPM labor,0.36168792843818665,0.07635210898847954,0.016068104298753612,record_history,3
upm_cnt_w1,"UPM count, last quarter",0.326559454202652,0.06893650873604003,0.1113039724457804,record_history,4
time_since_upm,Quarters since last UPM,0.3174465298652649,0.06701277576763144,0.06932983280317459,record_history,5
periods_since_first,Cell age (quarters),0.25621163845062256,0.054086126201588425,0.015180803254221659,record_history,6
active_share_hist,Active-quarter share (data density),0.2201009839773178,0.0464631882785654,0.017541790642724993,record_history,7
upm_cnt_w2,"UPM count, last 2 quarters",0.19474543631076813,0.04111064707748452,0.1387004025596537,record_history,8
ppm_labour_cum,Cumulative PPM labor,0.14369924366474152,0.030334825829630967,0.012312459161848383,record_history,9
ppm_labour_y1,Prior-year PPM labor,0.12959009408950806,0.027356392651739902,0.010911412516622053,record_history,10
upm_cost_y1,Prior-year UPM cost,0.11592437326908112,0.024471567023212758,0.012823183745549183,record_history,11
max_temp,Max temperature,0.10710511356592178,0.022609826486388603,0.00868070090881532,weather_season,12
active_cum,Cumulative active quarters,0.10483559966087341,0.022130733435709867,0.015050669241116229,record_history,13
min_temp,Min temperature,0.10340125113725662,0.021827943305899464,0.008797993080984497,weather_season,14
upm_cnt_cum,Cumulative UPM count,0.09364194422960281,0.01976775935703828,0.00989886016510697,record_history,15
humidity,Humidity,0.08151356130838394,0.017207464854941904,0.008061783905180642,weather_season,16
ppm_upm_ratio,PPM:UPM ratio,0.08113466203212738,0.017127479440550774,0.007981015238365214,record_history,17
upm_cnt_w4,"UPM count, last 4 quarters",0.07307600975036621,0.01542630268307864,0.023621301648220096,record_history,18
precip,Precipitation,0.07281623035669327,0.01537146340584778,0.008222464876204934,weather_season,19
quarter,Calendar quarter (season),0.0721786618232727,0.015236873063389968,0.010668785560106416,weather_season,20
ppm_cnt_w1,"PPM count, last quarter",0.07216376066207886,0.015233727437025162,0.008731252929002991,record_history,21
ppm_cnt_cum,Cumulative PPM count,0.07050780206918716,0.01488415555191735,0.009155592834307162,record_history,22
react_burden_trend,Reactive-burden trend,0.034811247140169144,0.007348633799165721,0.006257350892478152,record_history,23
prem_labour_sys,Reactive labor premium (system),0.034034647047519684,0.00718469397631767,0.014136092687748977,premium,24
time_since_ppm,Quarters since last PPM,0.03192410245537758,0.006739159254105286,0.009050049381394093,record_history,25
upm_freq_trend,UPM-frequency trend,0.0312601663172245,0.006599002725794949,0.01119745921618783,record_history,26
ppm_activity_trend,PPM-activity trend,0.030135415494441986,0.006361568488559549,0.008019007513534088,record_history,27
ppm_cnt_w4,"PPM count, last 4 quarters",0.030093509703874588,0.0063527222008151205,0.007718804204559626,record_history,28
prem_cost_sys,Reactive cost premium (system),0.02927456423640251,0.006179843294244879,0.012973255895106272,premium,29
ppm_cnt_w2,"PPM count, last 2 quarters",0.020454170182347298,0.004317863296613701,0.006273305143728179,record_history,30
