system,system_desc,burden_share,campuses_evaluable,n_pos,pooled_lift_top10,frac_campuses_2x,top_band_enrichment,band_spearman,zero_prior_share,data_sufficiency,risk_concentration,transfer_stability,risk_gradient,prior_record_trace,S_pooled,S_median_outer,S_min,S_max,folds_certified,folds_gated
D30,HVAC,0.3241,9,6606,5.94,0.889,3.93,1.0,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9
D20,Plumbing,0.2007,8,6359,6.05,1.0,3.81,1.0,0.008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9
D50,Electrical,0.1595,8,5506,6.75,1.0,3.79,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9
C30,Interior Finishes,0.0709,8,2549,5.6,1.0,2.71,1.0,0.063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9
C10,Interior Construction,0.0693,8,4578,6.18,1.0,3.46,1.0,0.006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9
E10,Equipment,0.0477,8,2704,5.81,1.0,3.56,1.0,0.012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9
D40,Fire Protection,0.0285,9,2029,5.55,0.889,2.55,1.0,0.075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9
E20,Furnishings,0.0274,7,1336,6.68,1.0,2.94,1.0,0.082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,9,9
B20,Exterior Enclosure,0.02,7,1789,5.09,0.857,2.04,1.0,0.111,1.0,1.0,1.0,1.0,0.5,0.9,0.9,0.5,0.9,8,9
B30,Roofing,0.0156,5,1039,4.93,1.0,3.39,1.0,0.247,0.5,1.0,0.5,1.0,0.5,0.7,0.7,0.6,0.7,8,9
G20,Site Improvements,0.0102,3,353,5.95,1.0,2.79,0.9,0.05,0.5,1.0,0.5,0.5,1.0,0.7,0.5,0.5,0.8,4,9
D10,Conveying,0.006,7,345,5.39,0.714,2.84,0.9,0.207,0.5,1.0,0.5,0.5,0.5,0.6,0.6,0.5,0.7,4,9
C20,Stairs,0.0045,5,174,2.87,0.6,1.41,0.8,0.434,0.5,1.0,0.5,0.0,0.0,0.4,0.4,0.0,0.6,0,9
F10,Special Construction,0.0027,3,102,5.39,1.0,2.25,1.0,0.216,0.5,1.0,0.5,1.0,0.5,0.7,0.5,0.0,0.7,2,9
G30,Site Mechanical Utilities,0.0014,1,29,5.17,1.0,,,,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,7
F20,Selective Building Demolition,0.0012,1,72,2.08,1.0,1.32,0.8,,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0,8
