system,system_desc,n_severe,persist_t1,persist_t2,persist_t4,persist_t8
D30,HVAC,6447,0.6282071970308214,0.6088933804951996,0.6239252336448599,0.6202686202686203
D50,Electrical,5610,0.6265241042956293,0.6199642786267117,0.6034598966524376,0.566894835096453
D20,Plumbing,6474,0.6114165588615783,0.6006449422946368,0.6014711429649189,0.5869017632241813
C10,Interior Construction,5062,0.5688300950806118,0.557947379865188,0.5520383693045564,0.5264010366051183
E10,Equipment,2790,0.5027932960893855,0.490027375831052,0.49097162510748066,0.4448732083792723
E20,Furnishings,1351,0.42398119122257055,0.38813559322033897,0.3756294058408862,0.32591414944356123
C30,Interior Finishes,2776,0.39939827002632566,0.37015043547110055,0.36713286713286714,0.3082750582750583
D40,Fire Protection,2052,0.3276661514683153,0.30375612411540553,0.28713486637663144,0.2596830985915493
B20,Exterior Enclosure,1800,0.2606413994169096,0.23180428134556574,0.24293405114401076,0.2168256721595837
G20,Site Improvements,422,0.25252525252525254,0.21293800539083557,0.25308641975308643,0.2
D10,Conveying,420,0.25,0.1548223350253807,0.10610079575596817,0.07053941908713693
B30,Roofing,945,0.17139737991266377,0.1461794019933555,0.13516609392898052,0.12724935732647816
F10,Special Construction,153,0.12413793103448276,0.1347517730496454,0.1111111111111111,0.11458333333333333
C20,Stairs,238,0.07792207792207792,0.04504504504504504,0.06572769953051644,0.02976190476190476
