SystemCode,DescriptiveCode,ComponentDescription,n_upm,n_ppm,upm_lab_median,ppm_lab_median,upm_lab_mean,ppm_lab_mean,lab_premium_median,lab_premium_mean,upm_cost_mean,ppm_cost_mean,cost_premium_mean
D50,D5020ELF,Exit Lighting Fixture,4287,190787,1.5,0.08,3.059517144856543,0.12373430404936744,18.75,24.726507077906692,115.57838534484473,2.175167883903823,53.13538610059541
D50,D5010VFD,Variable Frequency Drive,1208,11461,2.5,0.5,6.754428807947019,1.175987261146497,5.0,5.743624128514769,902.5526391272231,79.95212588769157,11.288663423347057
D50,D5020FLE,"Flood Light, Exterior",5334,20042,2.0,0.5,10.524771278590178,1.8389946113162359,4.0,5.723111538133988,721.2622543794513,98.1117060337531,7.351439329077791
D30,D3020STR,Steam Trap,2231,12729,2.0,0.5,5.694002689376961,1.0638133396181946,4.0,5.352445280880341,128.5594925670244,38.046776319898605,3.378985159901374
D50,D5020ELP,Emergency Lighting Pack,3717,95774,1.5,0.08,3.394073177293516,0.6484912745978381,18.75,5.233799297297177,166.6921330002557,33.51444653145797,4.973739692934864
D30,D3020FUR,"Furnace, Gas/Oil/Electric",1410,13219,1.25,0.25,2.9725319148936173,0.624099906699952,5.0,4.762910365764114,129.62719531648466,24.591957045150636,5.271121573549033
D30,D3020GBO,Gas Boiler,387,764,1.5,0.0,2.5441343669250642,0.581217277486911,,4.377251787705775,211.02398723959993,104.88115015825005,2.0120296823709136
D30,D3050HEE,"Heater Electric, Convector",346,1330,2.0,0.5,2.586705202312139,0.6203834586466166,4.0,4.169526389299784,247.42171561264968,0.0,
D30,D3050RHP,"Radiant Heating Panel, Electric",545,424,2.0,1.0,4.792623853211009,1.252311320754717,2.0,3.8270227009707862,28.250339119008462,8.14096469343651,3.4701463748865944
D20,D2020CLP,"Circulator Pump, Hot Water/Cold Water",3387,24350,2.0,0.5,4.40448774726897,1.1952090349075974,4.0,3.685119187213544,266.43933239650727,65.0304003681579,4.09715042331139
D30,D3050FCU,Fan Coil Unit,6043,51813,1.5,0.5,3.8912024932428704,1.0916306718391138,3.0,3.5645778317012713,109.88910267523688,56.54344424572989,1.9434455070984753
B20,B2030SLI,"Sliding, Motor-Operated",1376,6036,1.0,0.5,2.0596584302325582,0.5839612326043737,2.0,3.5270465147948453,115.89607156181738,4.9779306398662575,23.281977983713162
D40,D4010FSW,Fire Suppression System Water Pump,1426,34481,1.5,0.5,2.9098877980364657,0.8461883356051159,3.0,3.43881813964687,201.2398969267039,38.363945148045474,5.245547509520315
E10,E1020LEH,Laboratory Exhaust Hood,10641,31885,2.0,0.5,3.663198007706043,1.111198055511996,4.0,3.296620246530387,204.73286432251479,48.00188031970731,4.265100928524692
D30,D3020PRV,Pressure Reducer Valve,1972,2121,3.0,2.0,7.490593306288033,2.434342291371994,1.5,3.077050147317754,162.21367721164617,122.50673634348567,1.324120469235502
D30,D3050TRU,Terminal Reheat Unit,367,3554,2.0,0.75,3.6998365122615806,1.2027321328081035,2.6666666666666665,3.0761932863831545,58.98361354645002,10.458001645520998,5.640046305759744
D30,D3040VAV,Variable Air Volume Box,1341,9897,2.0,0.5,3.1953989560029834,1.0436526220066689,4.0,3.061745727097464,68.7856721005661,53.07259059856008,1.2960677314747913
B20,B2030STR,"Steel 20'x20', Painted/Roll-up",4742,8933,2.0,1.0,3.214451005201743,1.079519758199933,2.0,2.9776675978230767,89.51100204003811,76.13549101492615,1.1756803672874419
D20,D2030SEP,Sewage Ejector Pump,732,573,1.5,0.5,3.8592486338797816,1.3149912739965097,3.0,2.934809310293587,135.64982686865847,104.3479760529389,1.2999756392001238
D20,D2090CAD,Compressed Air Dryer,1176,6383,2.0,0.75,3.3130442176870742,1.1352702490991695,2.6666666666666665,2.9182868311011902,182.12125633106155,49.851708098831935,3.6532601043479347
D30,D3040SUF,Supply Fan,6805,27251,2.0,0.8,3.544683810923341,1.2516285640893912,2.5,2.8320572992853013,216.3456409345762,26.68194969089623,8.108314551256067
D30,D3020RFW,"Radiator, Finned/Wall",4482,1776,2.0,0.75,3.431921017402945,1.2584628378378377,2.6666666666666665,2.7270737873351276,104.14634653780566,37.60085109465832,2.769786946460927
D20,D2020BOP,Booster Pump,796,1475,1.5,0.5,3.5189195979899495,1.3179661016949153,3.0,2.6699621435366128,176.03051155900505,19.370090944613526,9.087748326135555
E10,E1010TRA,Trash Compactor,254,239,1.0,0.5,2.4947769028871396,0.9506276150627615,2.0,2.6243471821744118,35.249832128703716,58.270910984119396,0.6049301707040478
D20,D2040SMP,Sump Pump,4318,15118,2.0,1.0,4.665224641037517,1.7977589628257706,2.0,2.5950223236292915,186.75945049873667,86.15344463032223,2.1677537247652374
D30,D3030CRP,"Circulation Pump, Chiller & Condenser Water",1789,2099,1.5,0.63,3.7728675237562883,1.5019437827536921,2.380952380952381,2.5119898408175048,301.0282656594377,68.16510026740661,4.416164055778195
D20,D2020BFP,Backflow Preventor,2977,33403,2.0,1.0,3.8113973799126635,1.5284498398347452,2.0,2.493635892117172,214.17579105698505,84.07493760922706,2.5474391911232255
D30,D3040AFT,Air Filters,3947,43522,1.75,0.5,3.202975255468288,1.2947396718900788,3.5,2.4738372701537297,147.19598793903623,184.47676240703336,0.7979107288009529
B20,B2030STS,"Steel Single, Painted/Roll-up/Automatic",254,1052,1.5,0.75,2.1887795275590554,0.8864068441064639,2.0,2.4692719174178297,101.7598478434168,13.927214355513433,7.306547113144175
D20,D2010EEW,Emergency Eye Wash,2197,7971,1.0,0.5,2.2487619481110603,0.9147083176514865,2.0,2.4584470313823714,71.37880206713541,11.336345314516873,6.29645622877512
D40,D4030FEX,Fire Extinguisher,1652,38386,1.0,0.09,1.3235653753026633,0.5597410514249987,11.11111111111111,2.364603010504781,75.22369107735548,57.8576065502401,1.30015214182833
E10,E1010DWS,Dishwasher,2848,3183,1.0,0.0,2.348219803370786,1.0159409362236884,,2.3113743325465905,109.04419337437699,57.815306787428774,1.8860782625491024
D30,D3050SEE,"Suspended Heater, Electric/Natural Gas/Hot Water",248,1272,1.0,0.75,2.0908064516129032,0.9463443396226415,1.3333333333333333,2.209350618028339,41.93235396170573,4.460898902964392,9.399978541060525
D20,D2010ESS,Emergency Shower Station,202,6945,1.0,1.0,3.058316831683168,1.403290136789057,1.0,2.1793902426201512,44.85136854391479,55.84229958037762,0.8031791111925318
D30,D3070STB,General Systems Testing & Balancing,5563,110544,1.5,0.5,3.3846395829588354,1.5618714719930527,3.0,2.167041042525611,138.7011093607016,82.74634676029152,1.6762203383130114
D30,D3040EXH,Exhaust Fan,17562,43170,1.5,0.75,3.0022594237558367,1.394190410006949,2.0,2.1534070254728492,117.52217459729945,74.91922385611775,1.5686517898663845
D30,D3020CRS,Condensate Receiver Station,3269,5706,2.0,1.0,5.655820332415621,2.7871018810608716,2.0,2.0292836694806473,243.16001814787555,228.01553061685547,1.0664186667024362
E10,E1010WIF,Walk-In Freezer/Cooler,6644,4966,2.0,1.0,3.595668272125226,1.800668546113572,2.0,1.9968518247768847,56.34702663192018,77.81296319952571,0.724134184267431
D50,D5010SWB,Switchboard,198,667,2.5,2.0,4.585858585858586,2.2968515742128934,1.25,1.9965846454097107,520.364867616932,135.63039104334717,3.8366391456515414
D30,D3040AHD,"Air Handler, Exhaust/Multizone/Single Zone",25821,129247,1.5,0.5,3.054223693892568,1.5436011667582228,3.0,1.9786352586833442,123.88758272165236,71.72861132900077,1.7271710747809093
D20,D2020WHT,"Water Heater, Condensing/Electric/Gas/Oil",9952,13106,1.5,0.5,3.658200696677385,1.8818266442850604,3.0,1.9439626427795642,199.69920406918078,113.32756101427582,1.7621415504038314
D30,D3020CRP,"Circulation Pump, Hot Water",7032,9976,1.5,0.5,3.674793325748957,1.917759623095429,3.0,1.9161907892384993,150.70678039061713,119.0223445821821,1.2662057777441753
D20,D2090AIC,Air Compressor,6293,22123,2.0,1.0,3.4489644578632346,1.819494191565339,2.0,1.8955622248488944,175.15347603146859,115.62021034698155,1.5149036271930745
D30,D3030CHP,Chilled Water Primary Pump,2650,3259,2.0,0.75,5.213047798742138,2.812749309604173,2.6666666666666665,1.8533638177217253,83.43766575252778,148.54663599611237,0.5616934048557749
D20,D2090RVO,Reverse Osmosis/Deionized Water System,3342,9607,1.5,1.0,3.125972471573908,1.6979952118247112,1.5,1.8409783783869766,100.5442992792603,85.4149325243904,1.177127889793154
D30,D3040FAN,Fan ,9994,45812,1.5,0.75,3.0627603228603832,1.6719315899764253,2.0,1.8318694025654296,146.77716404860445,67.34861914368622,2.1793641193364315
D30,D3030CON,"Condenser, Air-Cooled/Evaporative",883,2947,3.0,1.0,6.411223103057758,3.517153036986766,3.0,1.822844509646477,228.855321183941,282.1840444524329,0.8110143917882593
E10,E1020ACW,Automatic Cart Washer,141,120,2.0,1.0,3.108936170212766,1.7405000000000002,2.0,1.7862316404554817,53.38555652709476,6.827366149222851,7.819348685901599
D40,D4090FDA,Fire Damper,267,497,2.5,0.75,5.7832584269662926,3.261066398390342,3.3333333333333335,1.7734255364505613,175.2395815794515,313.2326991776956,0.5594549420909559
D50,D5010PRT,"Primary Transformer, Dry/Oil Filled",279,3273,2.0,1.0,6.195304659498207,3.5026713514614523,2.0,1.768737068898366,593.2060272164993,143.96767275096317,4.120411310965854
D20,D2010EES,Emergency Eye Wash & Shower Station,2201,24175,1.0,0.28,1.5842571558382552,0.9060810754912099,3.571428571428571,1.7484717413167343,120.68327060676349,37.42329430604549,3.2248168645930213
D50,D5010TSA,Transfer Switch Auto,356,635,1.0,1.0,3.1724157303370784,1.8244724409448818,1.0,1.7388126338012022,98.25285841448469,197.45936426472056,0.4975852058490559
D40,D4010PAF,Pipe & Fittings,2721,7832,1.0,0.54,3.3009665564130835,1.927276557711951,1.8518518518518516,1.712762261962013,128.66467952772376,119.37334276065226,1.0778342681221633
