service,calendar_quarter,upm_order_share,high_burden_share
Electrical,1,0.2717386707587465,0.2661319073083779
Electrical,2,0.23087425916639984,0.2408199643493761
Electrical,3,0.2616675628160437,0.25953654188948305
Electrical,4,0.23571950725880994,0.23351158645276293
HVAC,1,0.2732344530898662,0.2708236389018148
HVAC,2,0.23869142066812046,0.24709167054443928
HVAC,3,0.24772385938414804,0.2435241197456181
HVAC,4,0.2403502668578653,0.23856057080812781
Plumbing,1,0.27316695951387365,0.2781896818041396
Plumbing,2,0.23546288161651657,0.23509422304603028
Plumbing,3,0.25719763525880374,0.25471115230151375
Plumbing,4,0.23417252361080607,0.23200494284831635
