campus,arm,lift_top10,lift_seeds,seed_sd,base_rate,n_test,n_param,seconds
1,A0,6.133963262037931,6.1340,0.0,0.11852297244721112,28273,-1,2.0
1,A1,5.916171764893589,5.8774;5.9550;5.9162,0.03166764611034691,0.11852297244721112,28273,38977,518.3
1,A2,5.957939997222641,5.9400;5.9788;5.9579,0.015849430573063806,0.11852297244721112,28273,38977,1991.6
1,A3,5.0211382149853305,5.1166;5.0211;4.9645,0.0627863812302196,0.11852297244721112,28273,38977,1064.9
1,A4,4.6243400078593355,4.5378;4.6959;4.6243,0.06464896134461845,0.11852297244721112,28273,14049,94.6
10,A0,6.427204046330856,6.4272,0.0,0.08079914231744464,58763,-1,1.8
10,A1,5.789116619712819,5.7175;5.7933;5.7891,0.0347880819954791,0.08079914231744464,58763,38977,838.9
10,A2,5.963906244826011,5.9639;5.7512;5.9997,0.10968210428107925,0.08079914231744464,58763,38977,642.1
10,A3,4.395011417002784,4.3950;4.1844;4.5340,0.14370950600545346,0.08079914231744464,58763,38977,727.0
10,A4,3.9590903037686793,3.9528;3.9844;3.9591,0.013647785989524224,0.08079914231744464,58763,14049,102.4
11,A0,7.541447634452082,7.5414,0.0,0.028376362593230064,87150,-1,1.9
11,A1,6.9065911847957935,6.8621;6.9875;6.9066,0.0518894097719911,0.028376362593230064,87150,38977,616.2
11,A2,7.0683380509502625,7.0400;7.0683;7.1047,0.0264818475594939,0.028376362593230064,87150,38977,714.9
11,A3,5.289122523251112,5.3053;5.2689;5.2891,0.0148879377506229,0.028376362593230064,87150,38977,680.0
11,A4,4.743226849979782,4.6947;4.8362;4.7432,0.058722256128297526,0.028376362593230064,87150,14049,85.8
2,A0,4.841058038395098,4.8411,0.0,0.10725313504316591,15869,-1,1.8
2,A1,4.476803671428477,4.4768;4.4768;4.4239,0.0249258128669914,0.10725313504316591,15869,38977,763.3
2,A2,4.488553812298368,4.4886;4.5121;4.4768,0.014655000460487365,0.10725313504316591,15869,38977,966.0
2,A3,4.39455268533924,4.4239;4.3593;4.3946,0.026419677801117786,0.10725313504316591,15869,38977,792.6
2,A4,4.241800854030656,4.1302;4.3064;4.2418,0.07280242480296269,0.10725313504316591,15869,14049,96.6
3,A0,6.481162278966537,6.4812,0.0,0.021656204284947134,108006,-1,1.9
3,A1,5.818510462845289,5.4765;5.9168;5.8185,0.1887219748708416,0.021656204284947134,108006,38977,734.8
3,A2,5.895463576975497,5.9596;5.4081;5.8955,0.2462588716660364,0.021656204284947134,108006,38977,627.3
3,A3,6.754773351429504,6.4213;6.8018;6.7548,0.16937216566530472,0.021656204284947134,108006,38977,622.5
3,A4,6.100671881322723,6.1007;5.7929;6.1733,0.16492541553832926,0.021656204284947134,108006,14049,122.1
4,A0,5.473481861426934,5.4735,0.0,0.14372416874557845,26857,-1,1.8
4,A1,5.263660739431865,5.2119;5.2637;5.2688,0.02573057042930984,0.14372416874557845,26857,38977,700.8
4,A2,5.261070355209704,5.2611;5.2429;5.3077,0.02727772847659516,0.14372416874557845,26857,38977,666.0
4,A3,4.561666615226138,4.4632;4.5617;4.5953,0.05605188174384322,0.14372416874557845,26857,38977,2417.3
4,A4,3.929612865018769,3.8001;4.1731;3.9296,0.1546343428506407,0.14372416874557845,26857,14049,230.1
5,A0,6.222996206233429,6.2230,0.0,0.057497567810662474,163433,-1,1.9
5,A1,6.340049828443702,6.3400;6.2656;6.3518,0.03817356302931125,0.057497567810662474,163433,38977,547.0
5,A2,6.50711727105291,6.5571;6.5071;6.4326,0.05115424798171541,0.057497567810662474,163433,38977,455.3
5,A3,5.3174268198612245,5.3174;5.1823;5.4632,0.11471608143584137,0.057497567810662474,163433,38977,502.3
5,A4,3.6839967281087773,3.7627;3.6840;3.6819,0.03763249042176282,0.057497567810662474,163433,14049,66.8
6,A0,3.004764930895792,3.0048,0.0,0.2991854636591479,25536,-1,1.8
6,A1,2.9236258081973867,2.9354;2.9236;2.8961,0.016450047701462026,0.2991854636591479,25536,38977,690.1
6,A2,2.972047542710951,2.9720;2.9668;2.9891,0.009497439468621286,0.2991854636591479,25536,38977,655.2
6,A3,2.486521502047912,2.5428;2.4787;2.4865,0.02855902961496976,0.2991854636591479,25536,38977,654.2
6,A4,2.336021516397643,2.3360;2.3321;2.3779,0.020729046809201655,0.2991854636591479,25536,14049,89.5
7,A0,3.9926605504587163,3.9927,0.0,0.06433823529411764,1088,-1,1.8
7,A1,3.137090432503277,3.5649;3.1371;3.1371,0.20165981072895517,0.06433823529411764,1088,38977,720.6
7,A2,3.279685452162517,2.8519;3.2797;3.4223,0.24236492926120357,0.06433823529411764,1088,38977,662.5
7,A3,2.5667103538663176,2.5667;2.7093;2.1389,0.24236492926120357,0.06433823529411764,1088,38977,858.9
7,A4,2.7093053735255572,2.8519;2.4241;2.7093,0.1778472362083901,0.06433823529411764,1088,14049,78.9
