campus,arm,lift_top10,seed_sd,n_param,base_rate,seconds
1,T0,6.133963262037931,0.0,-1,0.11852297244721112,0.0
1,T3,6.145897042703375,0.0,21505,0.11852297244721112,68.9
1,T3n,6.1041288103743225,0.0,21505,0.11852297244721112,73.0
1,T3p,6.110095700707045,0.0,21505,0.11852297244721112,68.6
1,T1,6.09219502970888,0.0,23233,0.11852297244721112,113.6
10,T0,6.427204046330856,0.0,-1,0.08079914231744464,0.0
10,T3,6.361921174300628,0.0,21505,0.08079914231744464,79.3
10,T3n,6.448263037308349,0.0,21505,0.08079914231744464,66.9
10,T3p,6.458792532797095,0.0,21505,0.08079914231744464,69.6
10,T1,6.532499001218321,0.0,23233,0.08079914231744464,113.0
11,T0,7.541447634452082,0.0,-1,0.028376362593230064,0.0
11,T3,7.424181156490092,0.0,21505,0.028376362593230064,61.5
11,T3n,7.501010917913465,0.0,21505,0.028376362593230064,64.4
11,T3p,7.5333602911443585,0.0,21505,0.028376362593230064,64.9
11,T1,7.63040841083704,0.0,23233,0.028376362593230064,122.4
2,T0,4.841058038395098,0.0,-1,0.10725313504316591,0.0
2,T3,4.870433390569825,0.0,21505,0.10725313504316591,72.7
2,T3n,4.899808742744553,0.0,21505,0.10725313504316591,73.1
2,T3p,4.899808742744553,0.0,21505,0.10725313504316591,76.6
2,T1,4.764682122740806,0.0,23233,0.10725313504316591,140.6
3,T0,6.481162278966537,0.0,-1,0.021656204284947134,0.0
3,T3,6.4512360679159,0.0,21505,0.021656204284947134,63.0
3,T3n,6.455511240923134,0.0,21505,0.021656204284947134,59.4
3,T3p,6.464061586937602,0.0,21505,0.021656204284947134,59.3
3,T1,7.0625858079503425,0.0,23233,0.021656204284947134,114.0
4,T0,5.473481861426934,0.0,-1,0.14372416874557845,0.0
4,T3,5.481253014093419,0.0,21505,0.14372416874557845,70.0
4,T3n,5.468301092982611,0.0,21505,0.14372416874557845,70.1
4,T3p,5.4708914772047725,0.0,21505,0.14372416874557845,78.1
4,T1,5.240347281432412,0.0,23233,0.14372416874557845,139.0
5,T0,6.222996206233429,0.0,-1,0.057497567810662474,0.0
5,T3,6.154892280583814,0.0,21505,0.057497567810662474,55.7
5,T3n,6.218739710880327,0.0,21505,0.057497567810662474,51.0
5,T3p,6.213419091688952,0.0,21505,0.057497567810662474,53.3
5,T1,6.757186373047584,0.0,23233,0.057497567810662474,109.6
6,T0,3.004764930895792,0.0,-1,0.2991854636591479,0.0
6,T3,2.936712763471323,0.0,21505,0.2991854636591479,73.6
6,T3n,3.0034562353683985,0.0,21505,0.2991854636591479,71.8
6,T3p,2.9956040622040367,0.0,21505,0.2991854636591479,80.2
6,T1,3.004764930895792,0.0,23233,0.2991854636591479,132.0
7,T0,3.9926605504587163,0.0,-1,0.06433823529411764,0.0
7,T3,4.135255570117956,0.0,21505,0.06433823529411764,80.5
7,T3n,4.135255570117956,0.0,21505,0.06433823529411764,76.5
7,T3p,3.850065530799476,0.0,21505,0.06433823529411764,77.4
7,T1,4.135255570117956,0.0,23233,0.06433823529411764,148.2
